SECTION,LOCATION,DAYS,START_TIME,END_TIME
0,TVN387,TW,18:18:00,20:40:00
1,QDJ389,HFT,18:15:00,20:21:00
2,VGP845,F,18:14:00,20:44:00
3,UGS416,TMH,13:09:00,16:07:00
4,QDJ389,HTW,19:02:00,22:50:00
5,SYH090,FM,19:17:00,21:18:00
6,QDJ389,FW,11:24:00,14:30:00
7,FRF846,FHM,06:49:00,07:55:00
8,YAN039,TF,16:58:00,19:55:00
9,QDJ389,M,11:08:00,12:15:00
10,ICH942,H,19:03:00,22:18:00
11,QDJ389,WFM,08:55:00,11:53:00
12,LEZ228,HW,11:33:00,12:48:00
13,LTG028,TF,11:23:00,13:45:00
14,LEZ228,HFM,19:50:00,22:31:00
15,QDJ389,TM,14:08:00,18:04:00
16,ICH942,T,17:20:00,18:34:00
17,FRF846,FW,20:21:00,21:55:00
18,LEZ228,W,07:20:00,08:57:00
19,FRF846,T,16:51:00,20:19:00
20,UGS416,HW,20:06:00,22:09:00
21,TVN387,H,12:43:00,14:26:00
22,ICH942,WMH,12:45:00,15:57:00
23,ICH942,HF,10:09:00,12:00:00
24,YAN039,HWM,18:01:00,19:48:00
25,LTG028,MHF,19:20:00,20:55:00
26,SYH090,FH,10:06:00,13:19:00
27,QDJ389,T,18:55:00,20:51:00
28,YAN039,WH,15:29:00,16:58:00
29,FRF846,TF,08:03:00,11:00:00
30,YAN039,T,07:20:00,09:35:00
31,LEZ228,M,06:46:00,09:13:00
32,QDJ389,HF,18:46:00,20:05:00
33,QDJ389,HT,19:55:00,21:30:00
34,YAN039,TMF,17:03:00,18:40:00
35,LTG028,TH,08:02:00,10:32:00
36,QDJ389,TH,14:49:00,16:14:00
37,LTG028,T,15:30:00,18:07:00
38,YAN039,FTW,11:01:00,12:22:00
39,VGP845,H,07:59:00,10:09:00
40,LEZ228,WH,13:32:00,14:56:00
41,YAN039,MF,07:16:00,09:41:00
42,ICH942,FT,13:13:00,14:14:00
43,VGP845,M,07:41:00,08:42:00
44,ICH942,MTW,14:30:00,17:12:00
45,LEZ228,HMF,18:54:00,22:42:00
46,QDJ389,MWF,16:57:00,19:19:00
47,LTG028,FW,12:28:00,15:37:00
48,LTG028,FHM,17:40:00,21:35:00
49,FRF846,HTM,09:23:00,12:33:00
50,UGS416,FHT,14:11:00,17:50:00
51,LEZ228,HF,12:37:00,13:52:00
52,SYH090,F,18:11:00,19:15:00
53,LEZ228,HW,16:10:00,17:48:00
54,LEZ228,M,09:55:00,13:25:00
55,SYH090,H,21:23:00,22:26:00
56,LEZ228,MWH,09:14:00,10:40:00
57,UGS416,FT,10:07:00,13:52:00
58,SYH090,H,14:29:00,17:07:00
59,LEZ228,FW,06:38:00,10:36:00
60,TVN387,M,14:13:00,17:17:00
61,UGS416,HW,13:17:00,14:55:00
62,QDJ389,HMF,13:50:00,15:50:00
63,VGP845,WMH,14:21:00,16:51:00
64,LEZ228,F,07:48:00,10:17:00
