STUDENT_ID,SECTION,LOCATION,DAYS,START_TIME,END_TIME
0,36,QDJ389,TH,14:49:00,16:14:00
0,223,FRF846,MHT,17:05:00,18:32:00
0,300,VGP845,HF,15:46:00,19:07:00
1,95,TVN387,MFW,08:59:00,11:07:00
1,299,YAN039,FMT,18:34:00,20:36:00
1,485,QDJ389,FH,20:10:00,22:37:00
2,486,LEZ228,HFW,11:59:00,13:54:00
3,120,VGP845,TH,17:07:00,19:41:00
3,480,VGP845,FTM,06:56:00,10:18:00
3,415,LEZ228,FT,08:07:00,10:10:00
4,465,FRF846,M,10:46:00,11:50:00
4,112,QDJ389,TMF,09:15:00,12:24:00
4,300,VGP845,HF,15:46:00,19:07:00
5,40,LEZ228,WH,13:32:00,14:56:00
6,56,LEZ228,MWH,09:14:00,10:40:00
6,424,ICH942,FT,18:50:00,21:09:00
6,238,TVN387,MH,18:07:00,20:33:00
7,84,QDJ389,W,12:32:00,14:31:00
8,3,UGS416,TMH,13:09:00,16:07:00
8,376,ICH942,WM,20:35:00,22:46:00
9,196,UGS416,TM,10:01:00,13:34:00
9,169,VGP845,MFH,18:32:00,20:55:00
10,428,LEZ228,TFM,09:10:00,12:26:00
10,288,LTG028,MF,17:47:00,21:42:00
11,448,QDJ389,MTH,12:45:00,16:40:00
11,237,SYH090,FW,18:55:00,22:10:00
12,300,VGP845,HF,15:46:00,19:07:00
13,461,VGP845,FHW,08:40:00,10:20:00
14,29,FRF846,TF,08:03:00,11:00:00
15,82,VGP845,HT,09:58:00,12:20:00
15,337,YAN039,WM,19:23:00,21:38:00
16,432,UGS416,TW,09:27:00,10:55:00
16,59,LEZ228,FW,06:38:00,10:36:00
16,100,VGP845,MWT,14:39:00,17:46:00
17,77,FRF846,T,10:44:00,13:17:00
17,294,LTG028,HF,16:14:00,19:43:00
17,71,QDJ389,HM,09:57:00,11:43:00
18,455,QDJ389,W,17:14:00,19:14:00
18,351,SYH090,MTW,11:41:00,13:12:00
19,332,LEZ228,M,16:10:00,19:06:00
20,313,SYH090,WTM,09:26:00,12:33:00
20,371,UGS416,T,08:21:00,12:00:00
21,6,QDJ389,FW,11:24:00,14:30:00
21,81,UGS416,FTH,10:58:00,13:59:00
22,352,LEZ228,TF,11:55:00,14:11:00
23,439,LEZ228,TWH,14:47:00,18:15:00
24,296,LEZ228,FWM,07:41:00,10:15:00
24,462,QDJ389,HMW,14:34:00,16:40:00
25,333,LEZ228,TMH,14:04:00,15:20:00
25,409,VGP845,TF,14:22:00,16:21:00
25,221,YAN039,F,13:48:00,15:32:00
26,151,YAN039,WFT,06:06:00,08:47:00
26,444,YAN039,THW,08:39:00,12:10:00
27,448,QDJ389,MTH,12:45:00,16:40:00
27,451,YAN039,H,07:34:00,10:38:00
27,91,LEZ228,TM,19:08:00,20:43:00
28,390,UGS416,FW,10:10:00,13:44:00
29,478,SYH090,FMW,19:19:00,21:38:00
29,100,VGP845,MWT,14:39:00,17:46:00
30,357,UGS416,FW,17:51:00,21:45:00
31,29,FRF846,TF,08:03:00,11:00:00
31,229,YAN039,WTH,15:05:00,16:38:00
31,116,LTG028,WF,07:09:00,11:06:00
32,438,QDJ389,TM,06:58:00,08:30:00
32,381,LEZ228,MW,12:24:00,14:00:00
33,60,TVN387,M,14:13:00,17:17:00
33,101,LTG028,T,06:26:00,07:28:00
34,221,YAN039,F,13:48:00,15:32:00
35,3,UGS416,TMH,13:09:00,16:07:00
36,485,QDJ389,FH,20:10:00,22:37:00
36,447,VGP845,FH,14:20:00,15:45:00
36,102,VGP845,HM,18:19:00,22:16:00
37,213,LTG028,M,16:04:00,17:19:00
38,470,ICH942,MWT,09:11:00,11:52:00
38,168,QDJ389,H,07:46:00,11:00:00
38,91,LEZ228,TM,19:08:00,20:43:00
39,52,SYH090,F,18:11:00,19:15:00
39,287,YAN039,WTF,16:19:00,19:57:00
39,61,UGS416,HW,13:17:00,14:55:00
40,185,LTG028,H,14:06:00,15:41:00
40,147,UGS416,FWM,18:37:00,21:19:00
40,229,YAN039,WTH,15:05:00,16:38:00
41,148,TVN387,W,06:23:00,08:45:00
42,430,FRF846,H,10:06:00,12:10:00
42,100,VGP845,MWT,14:39:00,17:46:00
42,378,LEZ228,MHF,08:09:00,10:15:00
43,22,ICH942,WMH,12:45:00,15:57:00
43,87,YAN039,WM,12:09:00,16:08:00
43,318,LTG028,MH,15:56:00,17:23:00
44,310,TVN387,MFW,08:04:00,10:20:00
45,325,LEZ228,HW,16:05:00,18:52:00
46,269,QDJ389,HM,16:01:00,18:10:00
46,25,LTG028,MHF,19:20:00,20:55:00
46,430,FRF846,H,10:06:00,12:10:00
47,316,UGS416,H,13:04:00,14:59:00
47,308,TVN387,M,07:08:00,10:21:00
47,95,TVN387,MFW,08:59:00,11:07:00
48,424,ICH942,FT,18:50:00,21:09:00
48,108,LTG028,HWM,08:38:00,11:08:00
48,308,TVN387,M,07:08:00,10:21:00
49,326,VGP845,TFW,09:04:00,10:41:00
49,114,YAN039,MHT,11:56:00,15:54:00
50,245,UGS416,FH,19:25:00,21:17:00
50,312,YAN039,F,12:12:00,14:35:00
51,61,UGS416,HW,13:17:00,14:55:00
51,299,YAN039,FMT,18:34:00,20:36:00
52,82,VGP845,HT,09:58:00,12:20:00
52,127,LEZ228,F,15:46:00,19:33:00
53,393,UGS416,W,11:26:00,15:24:00
54,230,VGP845,TFW,14:04:00,15:36:00
54,33,QDJ389,HT,19:55:00,21:30:00
55,206,UGS416,HFM,08:28:00,12:11:00
56,117,FRF846,WT,10:05:00,11:11:00
56,361,LTG028,M,19:35:00,22:05:00
57,275,SYH090,T,10:42:00,14:19:00
57,133,VGP845,WHT,10:35:00,12:50:00
58,289,QDJ389,M,06:40:00,09:35:00
58,68,TVN387,THW,06:31:00,10:07:00
58,350,UGS416,FWT,17:26:00,18:34:00
59,264,LEZ228,WHT,16:30:00,19:43:00
59,299,YAN039,FMT,18:34:00,20:36:00
60,347,QDJ389,HW,08:29:00,10:50:00
60,436,YAN039,W,14:26:00,16:08:00
60,8,YAN039,TF,16:58:00,19:55:00
61,433,VGP845,WMH,16:13:00,18:06:00
62,415,LEZ228,FT,08:07:00,10:10:00
63,411,SYH090,WMT,15:49:00,17:24:00
64,458,LEZ228,F,17:31:00,19:37:00
64,241,SYH090,M,17:15:00,20:10:00
64,161,SYH090,T,16:26:00,17:38:00
65,172,VGP845,H,10:18:00,13:31:00
65,284,LEZ228,FT,06:59:00,08:36:00
65,462,QDJ389,HMW,14:34:00,16:40:00
66,380,SYH090,TFW,11:25:00,15:09:00
67,281,VGP845,W,15:16:00,18:52:00
67,64,LEZ228,F,07:48:00,10:17:00
68,3,UGS416,TMH,13:09:00,16:07:00
68,326,VGP845,TFW,09:04:00,10:41:00
69,261,VGP845,WHF,07:07:00,09:42:00
69,358,VGP845,W,11:45:00,15:44:00
69,424,ICH942,FT,18:50:00,21:09:00
70,336,QDJ389,WT,12:46:00,16:02:00
71,429,QDJ389,W,14:30:00,15:56:00
71,68,TVN387,THW,06:31:00,10:07:00
72,205,FRF846,T,11:39:00,12:54:00
72,315,QDJ389,MH,15:04:00,17:38:00
73,170,VGP845,FMT,13:03:00,14:44:00
73,26,SYH090,FH,10:06:00,13:19:00
73,320,QDJ389,HMW,06:20:00,09:43:00
74,407,VGP845,FTH,12:25:00,14:23:00
74,486,LEZ228,HFW,11:59:00,13:54:00
74,184,LEZ228,HFM,13:56:00,16:30:00
75,78,TVN387,H,06:08:00,09:20:00
75,263,TVN387,H,08:24:00,11:17:00
76,255,TVN387,M,17:00:00,19:21:00
76,92,LEZ228,F,10:53:00,14:30:00
77,151,YAN039,WFT,06:06:00,08:47:00
77,103,VGP845,MT,19:21:00,21:52:00
77,119,UGS416,F,10:55:00,14:31:00
78,27,QDJ389,T,18:55:00,20:51:00
78,365,LTG028,WH,14:30:00,18:01:00
78,488,UGS416,T,08:39:00,10:47:00
79,90,QDJ389,T,07:40:00,11:18:00
79,28,YAN039,WH,15:29:00,16:58:00
80,75,SYH090,F,16:00:00,18:13:00
81,129,LEZ228,MWF,11:45:00,13:42:00
82,129,LEZ228,MWF,11:45:00,13:42:00
83,495,VGP845,T,19:39:00,21:40:00
84,112,QDJ389,TMF,09:15:00,12:24:00
84,1,QDJ389,HFT,18:15:00,20:21:00
85,327,VGP845,M,06:44:00,09:59:00
86,155,FRF846,WH,09:06:00,11:17:00
86,270,TVN387,HF,17:33:00,18:33:00
87,172,VGP845,H,10:18:00,13:31:00
