SECTION,LOCATION,DAYS,START_TIME,END_TIME,DURATION,ENROLLMENT,STUDENT_ID,OCCUPANCY,OCCUPANCY_RATIO,MASK,D0,YEAR,STUDENT_INFECTION_PROB,TEACHER_INFECTION_PROB,INFECTION_PROB_SESSION
0,TVN387,TW,18:18:00,20:40:00,02:22:00,20,"248,317,485,853,978,1120,1161,1324,1561,1575,1712,1846,1879,1953,2171,2250,2930,3580,3962,4200",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00022891411141826238
1,QDJ389,HFT,18:15:00,20:21:00,02:06:00,15,"84,388,621,789,1869,1908,2799,2832,2882,3719,3788,4137,4295,4574,4644",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00045541253440944474
2,VGP845,F,18:14:00,20:44:00,02:30:00,14,"364,416,569,1379,1430,1789,1876,1884,3142,3472,3708,3739,3879,4132",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001597167582944309
3,UGS416,TMH,13:09:00,16:07:00,02:58:00,24,"8,35,68,258,756,801,1140,1194,1565,2174,2289,2337,2396,2419,2578,2739,2815,2980,3260,4043,4130,4131,4173,4505",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00019972946804070366
4,QDJ389,HTW,19:02:00,22:50:00,03:48:00,17,"316,348,1106,1513,1518,1691,1697,2163,2247,2815,2957,3017,3297,3550,3578,3644,4840",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.000859145871745353
5,SYH090,FM,19:17:00,21:18:00,02:01:00,21,"340,555,646,995,1007,1154,1625,1684,1748,2124,2278,2389,2474,2510,2853,2880,4085,4405,4495,4586,4988",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00011113381105071308
6,QDJ389,FW,11:24:00,14:30:00,03:06:00,21,"21,427,699,747,1035,1469,1975,2180,2263,2572,2577,2654,2967,3216,3327,3476,3632,4049,4166,4362,4709",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0007697507001620855
7,FRF846,FHM,06:49:00,07:55:00,01:06:00,19,"652,743,1068,1508,1865,1952,2049,2320,2547,2929,3188,3342,3576,3681,3929,4155,4441,4451,4870",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00018867321539931347
8,YAN039,TF,16:58:00,19:55:00,02:57:00,17,"60,263,320,928,946,1416,1509,2094,2122,2806,2871,3638,3657,3837,4112,4536,4801",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00018008608282334216
9,QDJ389,M,11:08:00,12:15:00,01:07:00,28,"406,656,712,1069,1138,1349,1547,1743,1810,1976,2187,2217,2461,2515,2609,2904,3116,3133,3584,3921,4215,4249,4330,4397,4446,4537,4692,4849",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00031555801025691735
10,ICH942,H,19:03:00,22:18:00,03:15:00,19,"406,535,767,941,1201,1857,2055,2272,2473,2951,2959,3191,3258,3347,3777,3963,4320,4695,4700",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0005096396903894455
