STUDENT_ID,SECTION,LOCATION,DAYS,START_TIME,END_TIME,DURATION,OCCUPANCY_RATIO,MASK,HEIGHT,RESPIRATORY_RATE,ACTIVE_EMISSION,PASSIVE_EMISSION,HVAC,STUDENT_ACTIVE_TIME,TEACHER_ACTIVE_TIME,DATASET,STUDENT_INFECTION_PROB,TEACHER_INFECTION_PROB,SIMULATION_DAYS,INFECTION_PROB_SESSION,HEALTHY_PROB_SESSION,HEALTHY_PROB_TOTAL
0,36,QDJ389,TH,14:49:00,16:14:00,01:25:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00035401883096216496,0.9996459811690378,0.9992920876674083
0,223,FRF846,MHT,17:05:00,18:32:00,01:27:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0002036184894492704,0.9997963815105507,0.9993892689046778
0,300,VGP845,HF,15:46:00,19:07:00,03:21:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00028069905811250095,0.9997193009418875,0.9994386806757363
1,95,TVN387,MFW,08:59:00,11:07:00,02:08:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00021573004807266133,0.9997842699519274,0.9993529494641031
1,299,YAN039,FMT,18:34:00,20:36:00,02:02:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001066677751486916,0.9998933322248513,0.9996800308073831
1,485,QDJ389,FH,20:10:00,22:37:00,02:27:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0007420367710688504,0.9992579632289311,0.9985164770764319
2,486,LEZ228,HFW,11:59:00,13:54:00,01:55:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0031532109784180714,0.996846789021582,0.9905701639316139
3,120,VGP845,TH,17:07:00,19:41:00,02:34:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019815294692403533,0.999801847053076,0.9996037333707423
3,480,VGP845,FTM,06:56:00,10:18:00,03:22:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0002708806112229116,0.9997291193887771,0.9991875782753716
3,415,LEZ228,FT,08:07:00,10:10:00,02:03:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.003512211391006241,0.9964877886089938,0.9929879128468427
